EmpID,BiasInfluentialFactor,FitmentPercent
5664,,0.370426372
23568,,0.415941381
21490,,0.621214543
8363,,0.37419278
6165,,0.775875633
17679,,0.407111726
9715,,0.635507909
12591,,0.258290036
6140,,0.430932695
21018,,0.276581746
13221,,0.573294375
23585,,0.683104224
22575,,0.677137644
6078,,0.764798035
24125,,0.660196185
18073,,7.59E-08
21420,,0.658076922
13218,,0.611593726
8728,,0.26122196
21541,,9.55E-08
12905,,0.746001545
19873,,0.839314479
6947,,0.792043128
19019,,0.588114871
24372,,0.410031764
5298,,0.660592268
18306,,0.428717092
22877,,0.284702487
15511,,0.642331691
11889,,0.576103156
9848,,0.498314232
4944,,0.685759803
4689,,4.09E-08
24333,,0.775489193
12186,,0.724131573
2936,,0.629058593
5082,,0.393742253
22236,,0.800287029
19221,,0.781218152
20858,,3.50E-08
16461,,0.258307984
22064,,0.238872466
3175,,0.791936475
18407,,0.642479648
3684,,0.491384551
2198,,8.37E-08
7540,,0.69429855
12700,,0.809395453
17503,,0.612840845
9153,,0.253872567
12564,,1.62E-07
16511,,0.448882404
16396,,0.442162163
6871,,0.6217114
9376,,0.754861135
7865,,0.752708694
20616,,0.42076697
8839,,0.413811222
15788,,0.745592682
10040,,0.607035343
6147,,0.307556683
24148,,0.757664803
4187,,0.273520745
18097,,1.63E-07
11617,,0.805877898
3642,,0.830147594
17990,,0.617841883
10677,,0.627461786
2215,,0.411138793
9784,,0.742387162
13451,,0.823324758
16266,,0.620559247
19313,,0.677655379
16790,,0.499409283
21204,,0.44323874
24019,,0.253882798
14539,,0.681036163
3123,,0.60695999
9647,,0.656221384
18930,,0.4200566
23676,,0.585901957
16808,,0.407152526
23101,,0.81516008
3010,,3.34E-08
4544,,0.609975118
22861,,0.375764091
10897,,0.439218682
13475,,0.263618126
23461,,0.763414268
19877,,0.792718543
10949,,4.76E-08
13759,,0.838579951
9443,,0.710992621
5606,,0.784453542
21658,,0.709878245
9731,,0.287589894
16330,,0.604768031
18456,,0.689746603
22486,,0.317717377
4900,,0.696525357
12433,,0.292145877
10757,,0.779097548
20969,,0.418844353
4565,,3.58E-08
16117,,0.762663711
22266,,0.68279972
23691,,0.599632657
14468,,0.843317947
9433,,0.718670226
2730,,0.71842562
13205,,0.634259947
5829,,0.284714313
2418,,0.341617856
2634,,0.64700927
2693,,0.786496703
22436,,0.715544149
8840,,0.700863416
4130,,0.31636154
13577,,0.323739024
16463,,0.465344205
15922,,0.622121168
16368,,1.79E-07
18819,,0.577352119
14057,,0.762030624
12793,,0.776249883
12592,,0.637417777
18919,,0.830535716
20836,,0.805564677
16849,,0.575007315
17458,,0.798379398
3924,,0.74259051
9026,,0.776859966
6304,,0.62442612
12307,,0.634220874
17526,,0.243358153
11500,,0.256399449
11333,,0.678770126
12156,,0.360158229
11591,,0.651319238
16930,,0.236248208
18677,,0.63245196
14424,,0.592482071
24095,,1.71E-07
21803,,0.653596953
24365,,0.231130367
21897,,0.652104357
12218,,0.433093222
6426,,0.504297526
18233,,0.448241489
16313,,0.687051139
19552,,0.692034228
3394,,1.96E-08
21300,,0.604201993
19989,,0.69986999
18968,,0.849188063
17609,,0.666872862
6393,,0.439218682
18566,,0.201134134
18652,,0.674240442
6284,,0.742745464
10974,,0.722036192
9330,,0.597656661
20382,,0.778410158
14652,,0.265128474
15787,,0.839083384
19436,,0.265300996
7393,,0.664203555
9058,,0.770963565
11633,,1.82E-08
13719,,0.655612972
11529,,0.592335482
